index,label,text
0,1,"O Novo Mega Campeão do Brasil de enriquecimento súbito é o proprietário desta Fazenda. Fazenda Fortaleza comprada e certificada em Cartório de Registro de Imóveis . Proprietário: FÁBIO LUIS LULA DA SILVA (isso mesmo) Propriedade: Fazenda na região de Valparaíso/SP Preço: 47 milhões de reaisPois é, o Lulinha, o filho do Presidente Lula, que há 05 anos era subempregado do Zoológico em São Paulo, agora acabou de comprar a fazenda Fortaleza (de porteira fechada) localizada às margens da rodovia Marechal Rondon, município de Valparaíso-SP, de propriedade do Sr. José Carlos Prata Cunha, um dos maiores produtores de boi Nelore do Brasil, pela simples bagatela de R$ 47.000.000,00 (quarenta e sete milhões de reais).O impressionante nesta trajetória de sucesso e rara inteligência é que de um salário de R$ 1.500,00 passou a proprietário, de uma vez só, de um patrimônio de 47 Milhões. O que levaria 2.612 anos. Veja só que competência, logo depois de comprar, levou essa fazenda a ser a primeira a receber o Certificado de Exportação de carne para Europa. Mas não fica só nisso a competência deste EMPREENDEDOR de sucesso, e que EMPREENDEDOR…No Pará nas regiões de Redenção , Marabá e Carajás, ELE comprou de Benedito Mutran Filho, herdeiro do conhecido Bené Mutran (homem forte da castanha) várias fazendas totalizando R$ 100.000.000,00 isso mesmo. Cem milhões de reais. Sócios no negócio: Duda Mendonça e Daniel Dantas. DEPOIS PERGUNTAM PORQUE ESSA BAGAÇA DE BRASIL NÃO VAI PRA FRENTE!!! Pra “PQP” com essas m…! E ninguém faz nada???"
1,1,"ALERTA GERAL ATENÇÃO” FANTA UVA!!!! A propaganda parou… Porque??????? Reparem… a propaganda quase não se vê mais na mídia… Por que será??? Estamos repassando o e-mail abaixo para conhecimento e prevenção, principalmente para aqueles que bebem este refrigerante: Fanta Uva. Este e-mail está sendo repassado dentro do Hospital que trabalha uma pessoa amiga.Fato já está confirmado: Vinte e três pessoas já passaram pelo Hospital das Clínicas com um mesmo sintoma: falta de atividade renal e o aparecimento de tumores no reto. Todos os internados relataram o começo das dores e a conseqüente internação após ingerirem altas doses de Fanta Uva. Pesquisas realizadas pelo renomado Instituto Fleury, apontaram grande quantidade de Fenofinol, almeido e Voliteral, substâncias tóxicas e que causam, respectivamente, a má atividade dos rins e câncer.Segundo Dr.Paulo José Teixeira, formado pela USP e especialista em Toxicologia, as pessoas não devem ingerir mais o citado refrigerante. A Direção da Coca-Cola já assumiu sua culpa e prometeu indenizar os pacientes e todos aqueles que venham a se contaminar com o refrigerante. Lembre-se: Divulgar a todos de sua família, é a consciência de cada um que deve decidir, mas a nossa deve estar tranqüila.…. Por favor não deixem de repassar esta mensagem para todos que vocês conhecem…."
2,1,"ESTE NÚMERO DE CELULAR CLONA O SEU NÚMERO !!!Repassando…NÚMERO DE CELULAR QUE CLONA O NÚMERO CHAMADO…PASSE PARA O MAIOR NÚMERO DE PESSOAS.NÃO ATENDA LIGAÇÃO DO CELULAR DE NÚMERO:*(11)9965.0000*TODOS OS NÚMEROS QUE ESTÃO ATENDENDO, ESTÃO SENDO CLONADOS.*ESPALHEM!!!!!!!!*NÃO CUSTA NADA REPASSAR AOS SEUS AMIGOS."
3,1,"Conforme publicação do jornal português Correio da Manhã, a Arca de Noé encontrada por historiadores chineses é a real. arca de noé encontrada pode ser a verdadeiraOs mesmos garantem que o objeto de madeira, preso na montanha, a 4 mil metros de altitude, tem 99,9% de ser a Arca do Dilúvio.Yang Ving Cing, um dos historiadores, afirmou que a Arca está protegida no Monte Ararat há cerca de 4,8 mil anos. Esta informação corresponde à data indicada pela Bíblia em Gênesis. A grande caixa, conforme texto original bíblico, com medidas estabelecidas pelo Criador a Noé, para que ele, sua família e mais um casal de cada animal se salvassem do Dilúvio, flutuou durante o período chuvoso até parar no Ararat, na fronteira com o Irã.Descobriu-se que o grande barco tem vários compartimentos, que segundo os historiadores, seriam as divisões para acomodar os animais. Agora os chineses pretendem solicitar à Unesco a classificação do local como Patrimônio da Humanidade, conforme o jornal espanhol 20 Minutos, citado pelo periódico português.VEJA TAMBÉM: Assista o vídeo que mostra a descoberta da arca e como ela é por dentro. É incrivelEstas descobertas confirmam que a Bíblia e o seu conteúdo são verdadeiros.  E a arca repousou no sétimo mês, no dia dezessete do mês, sobre os montes de Ararate (Gn. 8.4), diz o texto sagrado. Portanto há uma asfixia da mídia para com o fato. Pois notificar nos grandes jornais o fato é tal como um tapa na cara dos ateus, céticos, anticristos. É assumir que realmente a Palavra de Deus não é historia da carochinha. E o príncipe deste mundo não quer os jornais, telejornais, enfatizando esta descoberta."
4,1,"*Água Antes de Dormir**. Cerca de 90% dos ataques de coração ocorre de manhã cedo e podem ser minimizados se tomarmos um ou dois copos de água (NÃO bebida alcoólica ou cerveja) antes do repouso da noite. Eu sabia que a água é importante, mas nunca soube sobre as horas especiais para bebê-la. Bebendo água na hora correta, maximizas a sua efetividade no corpo humano:– 1 copo de água depois de acordar – ajuda a ativar os órgãos internos. – 1 copo de água 30 minutos antes de uma refeição – ajuda a digestão. – 1 copo de água antes de tomar um banho – ajuda a baixar a pressão sanguínea. – 1 copo de água antes de ir para a cama – evita um derrame cerebral ou ataque de coração."
5,1,"BOMBA! SAIBA DO QUE É FEITO KIT KAT , VOCÊ NUNCA MAIS VAI QUERER COMER!Gosta de Kit Kat? Não assista o video a seguir. A iniciativa veio Greenpeace com mais uma de suas campanhas polêmicas contra alguma marca. A marca da vez é a Kit Kat, da Nestlé, que utiliza oléo de palma como matéria prima para o chocolate. O problema é para cultivar o óleo de palma as florestas da Indonésia estão sumindo, ameaçando todas as espécies da fauna e causando a extinção dos orangotangos do local. Utilizando o famoso conceito “Have a Break?” daKit Kat, o Greenpeace lançou um vídeo pra lá de bizarro, pedindo para que o mundo se informe sobre toda a situação e que a própria marca ‘dê um tempo’ para as florestas e lançaram um site sobre o assunto"
6,1,"“Quem manda nesse país é o meu pai, eu sento onde quiser, e mando minha turma bater em você, porque descubro onde você mora”. De Luiz Claudio, filho de Lula, bêbado e arrogante. Isso foi dito acintosa e arrogantemente por esse Luiz Claudio Lula da Silva, que comprou entradas para o Cirque Du Soleil, mas queria sentar em lugares que pertenciam a outras pessoas.Tudo o que vem a seguir, rigorosamente verdadeiro, está publicado em diversos sites, entre eles o do Movimento Ordem e Vigília contra a Corrupção (clique para ler)A seguir, o texto na íntegra, para meditação e reflexão geral do povo:“Você sabe com quem está falando?”Em uma viagem tomei conhecimento sobre um episódio deprimente, ocorrido durante uma apresentação do Cirque du Soleil. Foi relatado por um dos organizadores. A cena foi protagonizada pelo filho do filho do Brasil, aquele que quer ser técnico de futebol. Exaltado e bêbado, Luiz Cláudio Lula da Silva teve que ser retirado pelos seguranças do Cirque du Soleil, porque ele acredita ser o dono de tudo, até mesmo de um espetáculo estrangeiro que tem as garantias legais para atuar em qualquer lugar do mundo, sob a proteção das leis de seu país originário, no caso, do Canadá.Aos fatos: O filho de Lula, o mais novo, no Cirque du Soleil“Quem manda nesse país é o meu pai, eu sento onde eu quiser e mando minha turma bater em você, porque descubro onde você mora”. E repetia mil vezes: “Você sabe com quem está falando? Também, posso fazer você perder seu emprego.” É assim que os “Silvas” pensam: o Brasil é deles. Esse cretino tomou o assento de três senhoras que haviam pagado seus ingressos, e não queria sair do lugar delas de jeito nenhum. Ele estava acompanhado de duas garotas.O coordenador chamou o segurança e o fez sair. O cafajeste estava bêbado e se recusava a tomar o assento que ele havia comprado, queria aquele lugar porque ele era o filho do Lula. Pois bem, ele pediu para chamar o presidente do Cirque du Soleil. O canadense veio atendê-lo. Ele dizia ao coordenador : “Duvido que você conte a ele, que mandou o segurança retirar o filho do presidente do Brasil, que manda em tudo”.Isto ele dizia aos berros e intercalado com palavrões. O funcionário respondeu: “Eu falo sete idiomas e vou traduzir do jeito que você falar, mesmo falando mal de mim…” Bom, uma das amiguinhas dele falava inglês, e foi ouvindo o coordenador traduzir literalmente a conversa do imbecil.Resumindo: O diretor canadense, disse: “Aqui mando eu, e meu funcionário obedeceu rigorosamente as leis que regem o Cirque du Soleil, portanto, você se dirija ao seu lugar ou retire-se”. Ele se retirou, e tornou a voltar porque as moças estavam chorando e queriam ver o show. Muitos da platéia diziam: Ele é igual ao pai, vejam como está bêbado. Palhaço!!!Lógico que foi solicitado ao público que parasse com as manifestações. Mas o vagabundo-juniorzinho da Silva é baixo igual ao PAI. (não é o ex-funcionário de zoológico, Lulinha Jr., é o anão que quer ser técnico de futebol, sem talento para a coisa!) Lembrei-me dos filhos de Saddam Hussein!Observação importante:Para os dirigentes do Cirque du Soleil, a montagem do espetáculo, seja em qualquer país, obedece as leis canadenses.Para facilitar o entendimento: é como a nossa Embaixada em Honduras. Lá, manda o governo brasileiro, que deve obedecer as regras diplomáticas  por sinal, coisa que o Lula não fez, pois transformou aquele “território” na Casa da Mãe Joana.O ocorrido, relatado acima, foi no Brasil e a história nos foi contada por um dos organizadores do Cirque. O filho do filho do Brasil teria pago R$ 700 pelo ingresso, e sua fileira era bem melhor que a fileira onde estavam as três senhoras, pois oferecia uma visão mais ampla para o espetáculo. Porém, ele invocou que queria o lugar delas.O organizador nos explicou que nem com uma liminar ele poderia quebrar as regras du Cirque. E confessou-nos, que pela arrogância e violência do “neto” do Brasil, ele tremeu nas bases quando foi ameaçado, justamente porque sua família reside no Brasil."
7,1,"Ela não precisa se preocupar comigo, estou muito bem cuidado pelo povo brasileiro e por médicos muito capacitados. Porquê ela não fez nenhuma referência ao desastre de BH?A preocupação real dela é que se o Brasil perder a copa, ela perde as eleições, mas se Deus existe e ele EXISTE, ela perderá as eleições e o Brasil ganhará a copa. #forçabrasil #forçaBH. Todo meu respeito e solidariedade aos familiares do desastre em BH!“Esta montagem é um absurdo e não existe. O Neymar não disse essas palavras! Tudo o que o Neymar diz e as formas de se expressar oficialmente são através de suas plataformas oficiais”"
8,1,"Talvez, isso explique a razão do jogador Daniel Alves ter declarado a seguinte frase: “Se as pessoas soubessem o que aconteceu na Copa do Mundo, ficariam enojadas”. Todos os brasileiros ficaram chocados e tristes por terem perdido a Copa do Mundo de futebol, no Brasil. Não deveriam.…Fato comprovado: O Brasil VENDEU a copa do mundo para a Fifa. Os jogadores titulares brasileiros foram avisados, às 13:00 do dia 8 de Julho (dia do jogo semifinal), em uma reunião envolvendo o Sr. José Maria Marin (na única vez que o presidente da CBF compareceu a uma preleção da seleção), o Técnico Felipão, o Sr. Parreira, supervisor da seleção, e o Sr. Ronald Rhovald, representante da patrocinadora Nike.…A aceitação veio através do pagamento total dos prêmios, US$70.000,00 para cada jogador, mais um bônus de US$400.000,00 para todos os jogadores e integrantes da comissão, num total de US$ 23.000.000,00 vinte e três milhões de dólares) através da empresa Nike.…Mesmo assim, Neymar se recusou a jogar, o que obrigou o técnico Felipão a escalar o jogador Bernard, dizendo que Neymar havia fraturado a terceira vértebra lombar na partida anterior. A sua situação não foi resolvida nem mesmo após o representante da Nike ameaçar retirar seu ** patrocínio vitalício ao jogador, avaliado em mais de US$90.000.000,00 (noventa ** milhões de dólares) ao longo da sua carreira. Isso deixou o jogador fora das semi-finais…Gunther SchweitzerCentral Globo de JornalismoA Casas Bahia parece ter sacaneado o povo brasileiro. A empresa criou uma promoção ousada, e prometeu vender televisões por 1 real para quem tivesse comprado uma tevê antes da Copa e caso o Brasil fosse campeão do Mundo. Contudo, a promoção saiu do controle e a direção da empresa foi obrigada a agir para evitar a falência.Segundo um funcionário da empresa, que prefere ser identificado apenas como Beto Jamaica, os executivos da companhia decidiram comprar a Copa e repassar para a Alemanha: “Os chefes fizeram os cálculos e sairia bem mais barato comprar a Copa do que dar televisão a 1 real. Por isso, ficou decidido que o Mundial seria comprado e repassado para a Alemanha”, disse.Agora, o povo brasileiro está sem hospital, sem Copa e sem televisão.Um dos grandes fantasmas que rondam a Copa do Mundo é a manipulação de resultados. Agora a revista alemã Der Spieger afirma que um Sheik dos Emiradores Arabes levou sozinho o prêmio de 2 bilhões de dólares no jogo entre Brasil e Alemanha. O resultado apostado pelo Shake foi 7×1 para Alemanha com cinco no primeiro tempo e três no segundo tempo.…Segundo a revista o Shake poderia ter oferecido ou subordinado algumas ‘maçãs podres dentre os jogadores das seleções.…A final entre Brasil e França foi questionada por muitos desde que o Sheik Morramand Albert acertou o resultado 3×0 para França. Boatos de que jogadores brasileiros foram subordinado e fizeram corpo mole."
9,1,"Neymar, sua família e médicos especializados em coluna discutiram no último sábado uma alternativa  para deixar o craque em condições de disputar uma eventual final da Copa do Mundo …Em visita à casa do jogador, no Guarujá, litoral de São Paulo, Mauricio Zenaide, médico do Santos, Rafael Martini, fisioterapeuta do clube, e Nicola Carneiro, especialista em coluna, o avaliaram e diagnosticaram a possibilidade de realizar infiltrações de analgésico. O diagnóstico é de que a lesão na terceira vértebra da região lombar da coluna, conhecida como L3, é a menos grave possível para a região.   …Neymar e a família avaliam a possibilidade de autorizar a execução do plano caso o Brasil vença a Alemanha em Belo Horizonte. O atacante teria de passar por um procedimento para bloquear a dor na região da vértebra fraturada após a joelhada do colombiano Zuñiga, nas quartas de final. Isso seria feito a partir de quarta-feira, dia 10. Seriam realizadas injeções de analgésico – as chamadas infiltrações – para isolar a área da fratura e permitir que o atleta recupere os movimentos”."
